Format Version,1.23,Take Name,Take 2025-12-17 06.35.01 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-17 06.35.01.503 PM,Capture Start Frame,10755390,Total Frames in Take,16256,Total Exported Frames,16256,Rotation Type,ZYX,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032
,ID,"1A7CDF4D9ECDA9D11F0","1A7CDF4D9ECDA9D11F0","1A7CDF4D9ECDA9D11F0"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,1.891557,0.155825,-0.959431
1,0.008000,1.891678,0.155812,-0.958772
2,0.017000,1.891574,0.155740,-0.958133
3,0.025000,1.891252,0.155776,-0.957482
4,0.033000,1.890663,0.155689,-0.956945
5,0.042000,1.889934,0.155779,-0.956831
6,0.050000,1.889297,0.155834,-0.957065
7,0.058000,1.888721,0.155892,-0.957564
8,0.067000,1.888254,0.155880,-0.958222
9,0.075000,1.888175,0.155946,-0.958794
10,0.083000,1.888493,0.156058,-0.959552
11,0.092000,1.889094,0.156010,-0.960142
12,0.100000,1.889736,0.155841,-0.960480
13,0.108000,1.890461,0.155804,-0.960424
14,0.117000,1.891106,0.155817,-0.960044
15,0.125000,1.891566,0.155832,-0.959445
16,0.133000,1.891700,0.155791,-0.958732
17,0.142000,1.891581,0.155749,-0.958169
18,0.150000,1.891275,0.155775,-0.957493
19,0.158000,1.890693,0.155688,-0.956945
20,0.167000,1.889984,0.155768,-0.956805
21,0.175000,1.889328,0.155834,-0.957020
22,0.183000,1.888734,0.155889,-0.957543
23,0.192000,1.888287,0.155862,-0.958176
24,0.200000,1.888164,0.155928,-0.958727
25,0.208000,1.888471,0.156063,-0.959527
26,0.217000,1.889083,0.156004,-0.960081
27,0.225000,1.889699,0.155856,-0.960480
28,0.233000,1.890437,0.155793,-0.960461
29,0.242000,1.891088,0.155838,-0.960058
30,0.250000,1.891529,0.155836,-0.959456
31,0.258000,1.891682,0.155801,-0.958803
32,0.267000,1.891577,0.155757,-0.958195
33,0.275000,1.891269,0.155764,-0.957572
34,0.283000,1.890707,0.155685,-0.957005
35,0.292000,1.889967,0.155740,-0.956842
36,0.300000,1.889340,0.155823,-0.957058
37,0.308000,1.888757,0.155897,-0.957545
38,0.317000,1.888271,0.155876,-0.958180
39,0.325000,1.888146,0.155919,-0.958780
40,0.333000,1.888452,0.156029,-0.959475
41,0.342000,1.889047,0.156010,-0.960084
42,0.350000,1.889675,0.155847,-0.960509
43,0.358000,1.890400,0.155777,-0.960479
44,0.367000,1.891050,0.155834,-0.960111
45,0.375000,1.891530,0.155860,-0.959509
46,0.383000,1.891695,0.155815,-0.958841
47,0.392000,1.891573,0.155747,-0.958230
