Format Version,1.23,Take Name,Take 2025-12-17 06.57.16 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-17 06.57.16.807 PM,Capture Start Frame,10915629,Total Frames in Take,40845,Total Exported Frames,40845,Rotation Type,ZYX,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036
,ID,"1E7CDF4D9ECDA9D11F0","1E7CDF4D9ECDA9D11F0","1E7CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,2.054890,0.194710,-0.985653,,,
1,0.008000,2.054877,0.194717,-0.985624,,,
2,0.017000,2.054864,0.194696,-0.985625,,,
3,0.025000,2.054863,0.194705,-0.985645,,,
4,0.033000,2.054875,0.194719,-0.985565,,,
5,0.042000,2.054850,0.194727,-0.985620,,,
6,0.050000,2.054853,0.194740,-0.985591,,,
7,0.058000,2.054850,0.194724,-0.985603,,,
8,0.067000,2.054883,0.194711,-0.985593,,,
9,0.075000,2.054861,0.194732,-0.985579,,,
10,0.083000,2.054859,0.194741,-0.985622,,,
11,0.092000,2.054878,0.194719,-0.985598,,,
12,0.100000,2.054863,0.194717,-0.985636,,,
13,0.108000,2.054877,0.194724,-0.985631,,,
14,0.117000,2.054887,0.194701,-0.985602,,,
15,0.125000,2.054856,0.194725,-0.985637,,,
16,0.133000,2.054872,0.194733,-0.985579,,,
17,0.142000,2.054896,0.194734,-0.985587,,,
18,0.150000,2.054869,0.194722,-0.985612,,,
19,0.158000,2.054884,0.194736,-0.985598,,,
20,0.167000,2.054872,0.194741,-0.985613,,,
21,0.175000,2.054871,0.194730,-0.985587,,,
22,0.183000,2.054862,0.194710,-0.985631,,,
23,0.192000,2.054853,0.194719,-0.985612,,,
24,0.200000,2.054855,0.194746,-0.985600,,,
25,0.208000,2.054852,0.194737,-0.985632,,,
26,0.217000,2.054865,0.194714,-0.985603,,,
27,0.225000,2.054895,0.194715,-0.985645,,,
28,0.233000,2.054902,0.194746,-0.985632,,,
29,0.242000,2.054919,0.194738,-0.985604,,,
30,0.250000,2.054898,0.194749,-0.985594,,,
31,0.258000,2.054860,0.194746,-0.985595,,,
32,0.267000,2.054877,0.194711,-0.985600,,,
33,0.275000,2.054859,0.194759,-0.985611,,,
